Fator de Falha (%)	Tempo Entre Descargas (min)	Duração de Descarga (s)	Nº de Peças Total	Nº de Peças Simultâneas
1,0	20	400	6	5
1,0	20	450	6	5
1,0	20	500	6	5
1,0	20	10	7	1
1,0	20	20	7	1
1,0	20	30	7	2
1,0	20	40	7	2
1,0	20	50	7	2
1,0	20	75	7	2
1,0	20	100	7	3
1,0	20	300	7	5
1,0	20	350	7	5
1,0	20	400	7	5
1,0	20	450	7	6
1,0	20	500	7	6
1,0	20	10	8	1
1,0	20	20	8	1
1,0	20	30	8	2
1,0	20	40	8	2
1,0	20	50	8	2
1,0	20	75	8	3
1,0	20	100	8	3
1,0	20	300	8	5
1,0	20	350	8	5
1,0	20	400	8	6
1,0	20	450	8	6
1,0	20	500	8	7
1,0	20	10	9	1
1,0	20	20	9	1
1,0	20	30	9	2
1,0	20	40	9	2
1,0	20	50	9	2
1,0	20	75	9	3
1,0	20	100	9	3
1,0	20	300	9	5
1,0	20	350	9	6
1,0	20	400	9	6
1,0	20	450	9	7
1,0	20	500	9	7
1,0	20	10	10	1
1,0	20	20	10	2
1,0	20	30	10	2
1,0	20	40	10	2
1,0	20	50	10	2
1,0	20	75	10	3
1,0	20	100	10	3
1,0	20	300	10	6
1,0	20	350	10	6
1,0	20	400	10	7
1,0	20	450	10	7
1,0	20	500	10	8
1,0	20	10	11	1
1,0	20	20	11	2
1,0	20	30	11	2
1,0	20	40	11	2
1,0	20	50	11	2
1,0	20	75	11	3
1,0	20	100	11	3
1,0	20	300	11	6
1,0	20	350	11	7
1,0	20	400	11	7
1,0	20	450	11	8
1,0	20	500	11	8
1,0	20	10	12	1
1,0	20	20	12	2
1,0	20	30	12	2
1,0	20	40	12	2
1,0	20	50	12	3
1,0	20	75	12	3
1,0	20	100	12	4
1,0	20	300	12	7
1,0	20	350	12	7
1,0	20	400	12	8
1,0	20	450	12	8
1,0	20	500	12	9
1,0	20	10	13	1
1,0	20	20	13	2
1,0	20	30	13	2
1,0	20	40	13	2
1,0	20	50	13	3
1,0	20	75	13	3
1,0	20	100	13	4
1,0	20	300	13	7
1,0	20	350	13	8
1,0	20	400	13	8
1,0	20	450	13	9
1,0	20	500	13	10
1,0	20	10	14	1
1,0	20	20	14	2
1,0	20	30	14	2
1,0	20	40	14	3
1,0	20	50	14	3
1,0	20	75	14	3
1,0	20	100	14	4
1,0	20	300	14	8
1,0	20	350	14	8
1,0	20	400	14	9
1,0	20	450	14	10
1,0	20	500	14	10
1,0	20	10	15	1
1,0	20	20	15	2
1,0	20	30	15	2
1,0	20	40	15	3
1,0	20	50	15	3
